Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
18	1	1	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1995
18	1	2	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1316
18	1	3	Speaker1.jpg	IN00.jpg	matching	2	3	0	1524
18	1	4	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1137
18	1	5	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1012
18	1	6	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	923
18	1	7	Speaker1.jpg	IN00.jpg	matching	2	3	0	1121
18	1	8	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1021
18	1	9	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1184
18	1	10	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1164
18	1	11	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1452
18	1	12	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1102
18	1	13	Speaker5.jpg	IN00.jpg	matching	2	2	1	1373
18	1	14	Speaker1.jpg	IN00.jpg	matching	2	2	1	1215
18	1	15	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1062
18	1	16	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1103
18	1	17	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1157
18	1	18	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1112
18	1	19	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1013
18	1	20	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1000
18	1	21	Speaker1.jpg	IN00.jpg	matching	2	2	1	1100
18	1	22	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	779
18	1	23	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1107
18	1	24	Speaker5.jpg	IN00.jpg	matching	2	2	1	1114
18	1	25	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	765
18	1	26	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	872
18	1	27	Speaker5.jpg	IN00.jpg	matching	2	2	1	900
18	1	28	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	945
18	1	29	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	994
18	1	30	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	955
18	1	31	Speaker2.jpg	OUT1.jpg	matching	2	3	0	757
18	1	32	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1126
18	1	33	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1031
18	1	34	Speaker5.jpg	IN00.jpg	matching	2	2	1	921
18	1	35	Speaker5.jpg	IN00.jpg	matching	2	2	1	649
18	1	36	Speaker1.jpg	IN00.jpg	matching	2	2	1	745
18	1	37	Speaker1.jpg	IN00.jpg	matching	2	2	1	618
18	1	38	Speaker2.jpg	OUT1.jpg	matching	2	2	1	914
18	1	39	Speaker3.jpg	OUT1.jpg	matching	2	2	1	702
18	1	40	Speaker5.jpg	IN00.jpg	matching	2	2	1	681
18	1	41	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	951
18	1	42	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1081
18	1	43	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	907
18	1	44	Speaker2.jpg	OUT1.jpg	matching	2	3	0	774
18	1	45	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1063
18	1	46	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	849
18	1	47	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1051
18	1	48	Speaker2.jpg	OUT1.jpg	matching	2	3	0	1006
18	1	49	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	843
18	1	50	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1043
18	1	51	Speaker3.jpg	OUT1.jpg	matching	2	2	1	722
18	1	52	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	858
18	1	53	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1086
18	1	54	Speaker5.jpg	IN00.jpg	matching	2	2	1	1039
18	1	55	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	818
18	1	56	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	890
18	1	57	Speaker1.jpg	IN00.jpg	matching	2	2	1	1269
18	1	58	Speaker3.jpg	OUT1.jpg	matching	2	2	1	1265
18	1	59	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	741
18	1	60	Speaker5.jpg	IN00.jpg	matching	2	2	1	910
18	1	61	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1124
18	1	62	Speaker5.jpg	IN00.jpg	matching	2	2	1	726
18	1	63	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	929
18	1	64	Speaker1.jpg	IN00.jpg	matching	2	2	1	845
