Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
40	1	1	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1000
40	1	2	Speaker2.jpg	IN00.jpg	matching	2	2	1	845
40	1	3	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	773
40	1	4	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	808
40	1	5	Speaker3.jpg	IN00.jpg	matching	2	2	1	739
40	1	6	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	963
40	1	7	Speaker5.jpg	OUT1.jpg	matching	2	2	1	832
40	1	8	Speaker3.jpg	IN00.jpg	matching	2	2	1	713
40	1	9	Speaker2.jpg	IN00.jpg	matching	2	2	1	709
40	1	10	Speaker1.jpg	OUT1.jpg	matching	2	3	0	793
40	1	11	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	948
40	1	12	Speaker2.jpg	IN00.jpg	matching	2	2	1	771
40	1	13	Speaker5.jpg	OUT1.jpg	matching	2	2	1	1594
40	1	14	Speaker3.jpg	IN00.jpg	matching	2	2	1	1072
40	1	15	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	1148
40	1	16	Speaker2.jpg	IN00.jpg	matching	2	2	1	982
40	1	17	Speaker3.jpg	IN00.jpg	matching	2	2	1	696
40	1	18	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	607
40	1	19	Speaker5.jpg	OUT1.jpg	matching	2	2	1	1624
40	1	20	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1288
40	1	21	Speaker3.jpg	IN00.jpg	matching	2	2	1	1144
40	1	22	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	1274
40	1	23	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1345
40	1	24	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	987
40	1	25	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	897
40	1	26	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	936
