Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
8	1	1	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1015
8	1	2	Speaker1.jpg	OUT1.jpg	matching	2	3	0	1653
8	1	3	Speaker5.jpg	IN00.jpg	matching	2	2	1	1102
8	1	4	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1465
8	1	5	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1237
8	1	6	Speaker2.jpg	OUT1.jpg	matching	2	2	1	738
8	1	7	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	2076
8	1	8	Speaker3.jpg	IN00.jpg	matching	2	2	1	1392
8	1	9	Speaker3.jpg	IN00.jpg	matching	2	2	1	1015
8	1	10	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1496
8	1	11	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1061
8	1	12	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1070
8	1	13	Speaker5.jpg	IN00.jpg	matching	2	2	1	1635
8	1	14	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	1058
8	1	15	Speaker3.jpg	IN00.jpg	matching	2	3	0	1274
8	1	16	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1225
8	1	17	Speaker3.jpg	IN00.jpg	matching	2	2	1	1133
8	1	18	Speaker5.jpg	IN00.jpg	matching	2	2	1	1982
8	1	19	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1212
8	1	20	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1780
8	1	21	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	2173
8	1	22	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1281
8	1	23	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1850
8	1	24	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1036
8	1	25	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1041
8	1	26	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1709
8	1	27	Speaker2.jpg	OUT1.jpg	matching	2	2	1	927
8	1	28	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1076
8	1	29	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1187
8	1	30	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1019
8	1	31	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1394
8	1	32	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1662
8	1	33	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1119
8	1	34	Speaker5.jpg	IN00.jpg	matching	2	2	1	1471
8	1	35	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1800
8	1	36	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1226
8	1	37	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1217
8	1	38	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1447
8	1	39	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1293
8	1	40	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1160
8	1	41	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1789
8	1	42	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1977
8	1	43	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1450
8	1	44	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1170
8	1	45	Speaker5.jpg	IN00.jpg	matching	2	3	0	2217
8	1	46	Speaker3.jpg	IN00.jpg	matching	2	2	1	974
8	1	47	Speaker5.jpg	IN00.jpg	matching	2	2	1	1049
8	1	48	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1050
8	1	49	Speaker5.jpg	OUT1.jpg	mismatching	3	2	0	1110
8	1	50	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1500
8	1	51	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1214
8	1	52	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1071
8	1	53	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1678
8	1	54	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1256
8	1	55	Speaker5.jpg	IN00.jpg	matching	2	2	1	1627
8	1	56	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1438
8	1	57	Speaker5.jpg	IN00.jpg	matching	2	2	1	1291
8	1	58	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	2082
8	1	59	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1462
8	1	60	Speaker2.jpg	IN00.jpg	mismatching	3	0	0	2100000
8	1	61	Speaker3.jpg	IN00.jpg	matching	2	2	1	1142
8	1	62	Speaker5.jpg	IN00.jpg	matching	2	2	1	1940
8	1	63	Speaker3.jpg	IN00.jpg	matching	2	2	1	855
8	1	64	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1351
8	1	65	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1462
8	1	66	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1551
8	1	67	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1829
8	1	68	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	2315
8	1	69	Speaker5.jpg	IN00.jpg	matching	2	2	1	1206
8	1	70	Speaker3.jpg	IN00.jpg	matching	2	2	1	1914
8	1	71	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1140
8	1	72	Speaker5.jpg	OUT1.jpg	mismatching	3	2	0	1325
8	1	73	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	2130
8	1	74	Speaker3.jpg	IN00.jpg	matching	2	2	1	1200
8	1	75	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1687
8	1	76	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1556
8	1	77	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	2287
8	1	78	Speaker3.jpg	IN00.jpg	matching	2	2	1	899
8	1	79	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	959
8	1	80	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1003
8	2	1	Speaker1.jpg	OUT1.jpg	matching	2	0	0	2100000
8	2	2	Speaker5.jpg	IN00.jpg	matching	2	2	1	1457
8	2	3	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1100
8	2	4	Speaker5.jpg	IN00.jpg	matching	2	2	1	1123
8	2	5	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1458
8	2	6	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1015
8	2	7	Speaker5.jpg	IN00.jpg	matching	2	2	1	1672
8	2	8	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1130
8	2	9	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1655
8	2	10	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1630
