Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
1	1	1	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	813
1	1	2	Speaker1.jpg	OUT1.jpg	mismatching	3	2	0	985
1	1	3	Speaker1.jpg	IN00.jpg	matching	2	3	0	779
1	1	4	Speaker3.jpg	OUT1.jpg	matching	2	2	1	959
1	1	5	Speaker5.jpg	OUT1.jpg	matching	2	2	1	1187
1	1	6	Speaker3.jpg	OUT1.jpg	matching	2	2	1	971
1	1	7	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1119
1	1	8	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1011
1	1	9	Speaker1.jpg	IN00.jpg	matching	2	2	1	1004
1	1	10	Speaker2.jpg	IN00.jpg	matching	2	2	1	1181
1	1	11	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	988
1	1	12	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1023
1	1	13	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1058
1	1	14	Speaker3.jpg	OUT1.jpg	matching	2	2	1	988
1	1	15	Speaker3.jpg	OUT1.jpg	matching	2	2	1	930
1	1	16	Speaker3.jpg	OUT1.jpg	matching	2	2	1	870
1	1	17	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	918
1	1	18	Speaker3.jpg	OUT1.jpg	matching	2	2	1	711
1	1	19	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	1110
1	1	20	Speaker2.jpg	IN00.jpg	matching	2	2	1	766
1	1	21	Speaker5.jpg	OUT1.jpg	matching	2	2	1	958
1	1	22	Speaker1.jpg	IN00.jpg	matching	2	2	1	829
1	1	23	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	1272
1	1	24	Speaker1.jpg	IN00.jpg	matching	2	2	1	744
1	1	25	Speaker5.jpg	OUT1.jpg	matching	2	3	0	929
1	1	26	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	1083
1	1	27	Speaker2.jpg	IN00.jpg	matching	2	2	1	861
1	1	28	Speaker1.jpg	IN00.jpg	matching	2	2	1	807
1	1	29	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	794
1	1	30	Speaker2.jpg	IN00.jpg	matching	2	2	1	710
1	1	31	Speaker1.jpg	IN00.jpg	matching	2	2	1	733
1	1	32	Speaker1.jpg	IN00.jpg	matching	2	2	1	653
1	1	33	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	759
1	1	34	Speaker5.jpg	OUT1.jpg	matching	2	2	1	1000
1	1	35	Speaker5.jpg	IN00.jpg	mismatching	3	2	0	699
1	1	36	Speaker5.jpg	OUT1.jpg	matching	2	2	1	621
1	1	37	Speaker1.jpg	IN00.jpg	matching	2	2	1	727
1	1	38	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	817
1	1	39	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	915
1	1	40	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	1223
1	1	41	Speaker1.jpg	OUT1.jpg	mismatching	3	3	1	841
1	1	42	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	995
1	1	43	Speaker5.jpg	OUT1.jpg	matching	2	3	0	611
1	1	44	Speaker3.jpg	OUT1.jpg	matching	2	2	1	905
1	1	45	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	799
1	1	46	Speaker5.jpg	IN00.jpg	mismatching	3	3	1	1275
