Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
10	1	1	Speaker5.jpg	IN00.jpg	matching	2	2	1	902
10	1	2	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1752
10	1	3	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	953
10	1	4	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1190
10	1	5	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1043
10	1	6	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1246
10	1	7	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1161
10	1	8	Speaker1.jpg	OUT1.jpg	matching	2	2	1	703
10	1	9	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	971
10	1	10	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	800
10	1	11	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1468
10	1	12	Speaker3.jpg	IN00.jpg	matching	2	2	1	707
10	1	13	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1085
10	1	14	Speaker5.jpg	IN00.jpg	matching	2	2	1	486
10	1	15	Speaker5.jpg	IN00.jpg	matching	2	2	1	568
10	1	16	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1192
10	1	17	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	982
10	1	18	Speaker3.jpg	IN00.jpg	matching	2	2	1	769
10	1	19	Speaker1.jpg	OUT1.jpg	matching	2	2	1	987
10	1	20	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1261
10	1	21	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1261
10	1	22	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	998
10	1	23	Speaker1.jpg	OUT1.jpg	matching	2	2	1	765
10	1	24	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1232
10	1	25	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1022
10	1	26	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	842
10	1	27	Speaker1.jpg	OUT1.jpg	matching	2	2	1	917
10	1	28	Speaker5.jpg	IN00.jpg	matching	2	2	1	852
10	1	29	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	973
10	1	30	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1015
10	1	31	Speaker5.jpg	IN00.jpg	matching	2	2	1	732
10	1	32	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1076
10	1	33	Speaker1.jpg	OUT1.jpg	matching	2	2	1	993
10	1	34	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1327
10	1	35	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	854
10	1	36	Speaker5.jpg	IN00.jpg	matching	2	2	1	854
10	1	37	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	950
10	1	38	Speaker3.jpg	IN00.jpg	matching	2	2	1	823
10	1	39	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1004
10	1	40	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	794
10	1	41	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	791
10	1	42	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1109
10	1	43	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	768
10	1	44	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1284
10	1	45	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	949
10	1	46	Speaker5.jpg	IN00.jpg	matching	2	2	1	614
10	1	47	Speaker3.jpg	IN00.jpg	matching	2	2	1	989
10	1	48	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1191
10	1	49	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1102
10	1	50	Speaker3.jpg	IN00.jpg	matching	2	2	1	820
10	1	51	Speaker3.jpg	IN00.jpg	matching	2	2	1	1068
10	1	52	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1051
10	1	53	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	940
10	1	54	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1301
10	1	55	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1710
10	1	56	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	818
10	1	57	Speaker2.jpg	OUT1.jpg	matching	2	2	1	951
10	1	58	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1217
10	1	59	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1328
10	1	60	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	1958
10	1	61	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	847
10	1	62	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1142
10	1	63	Speaker5.jpg	IN00.jpg	matching	2	2	1	967
10	1	64	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1001
10	1	65	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1031
10	1	66	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1090
10	1	67	Speaker2.jpg	OUT1.jpg	matching	2	2	1	854
10	1	68	Speaker3.jpg	IN00.jpg	matching	2	2	1	964
10	1	69	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1869
10	1	70	Speaker5.jpg	IN00.jpg	matching	2	2	1	858
10	1	71	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	958
10	1	72	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1676
10	1	73	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1112
10	1	74	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1214
10	1	75	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1064
10	1	76	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	925
10	1	77	Speaker3.jpg	IN00.jpg	matching	2	2	1	945
10	1	78	Speaker3.jpg	IN00.jpg	matching	2	2	1	576
10	1	79	Speaker5.jpg	IN00.jpg	matching	2	2	1	711
10	1	80	Speaker3.jpg	IN00.jpg	matching	2	2	1	680
10	2	1	Speaker3.jpg	IN00.jpg	matching	2	2	1	761
10	2	2	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	537
10	2	3	Speaker3.jpg	IN00.jpg	matching	2	2	1	577
10	2	4	Speaker5.jpg	IN00.jpg	matching	2	2	1	903
10	2	5	Speaker2.jpg	OUT1.jpg	matching	2	2	1	634
10	2	6	Speaker1.jpg	OUT1.jpg	matching	2	2	1	758
10	2	7	Speaker1.jpg	OUT1.jpg	matching	2	2	1	866
10	2	8	Speaker5.jpg	IN00.jpg	matching	2	2	1	625
10	2	9	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	888
10	2	10	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	819
10	2	11	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1166
10	2	12	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1011
10	2	13	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	928
10	2	14	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1148
10	2	15	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	823
10	2	16	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1521
10	2	17	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	798
10	2	18	Speaker3.jpg	IN00.jpg	matching	2	2	1	984
10	2	19	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1041
10	2	20	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1188
10	2	21	Speaker2.jpg	OUT1.jpg	matching	2	2	1	831
10	2	22	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1020
10	2	23	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1036
10	2	24	Speaker5.jpg	IN00.jpg	matching	2	2	1	937
10	2	25	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	683
10	2	26	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	730
10	2	27	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	836
10	2	28	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	869
10	2	29	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1114
10	2	30	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1054
10	2	31	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	881
10	2	32	Speaker2.jpg	OUT1.jpg	matching	2	2	1	909
10	2	33	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	896
10	2	34	Speaker3.jpg	IN00.jpg	matching	2	2	1	781
10	2	35	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1577
10	2	36	Speaker3.jpg	IN00.jpg	matching	2	2	1	898
10	2	37	Speaker5.jpg	IN00.jpg	matching	2	2	1	708
10	2	38	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1209
10	2	39	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	871
10	2	40	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1313
10	2	41	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	821
10	2	42	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1116
10	2	43	Speaker5.jpg	IN00.jpg	matching	2	2	1	718
10	2	44	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	716
10	2	45	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1121
10	2	46	Speaker3.jpg	IN00.jpg	matching	2	2	1	893
10	2	47	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	827
10	2	48	Speaker5.jpg	IN00.jpg	matching	2	2	1	724
10	2	49	Speaker2.jpg	OUT1.jpg	matching	2	2	1	766
10	2	50	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	757
10	2	51	Speaker3.jpg	IN00.jpg	matching	2	2	1	834
10	2	52	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1381
10	2	53	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	974
10	2	54	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1384
10	2	55	Speaker5.jpg	IN00.jpg	matching	2	2	1	775
10	2	56	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	947
10	2	57	Speaker5.jpg	IN00.jpg	matching	2	2	1	664
10	2	58	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	807
10	2	59	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1016
10	2	60	Speaker1.jpg	OUT1.jpg	matching	2	2	1	715
10	2	61	Speaker5.jpg	IN00.jpg	matching	2	2	1	697
10	2	62	Speaker3.jpg	IN00.jpg	matching	2	2	1	695
