Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
6	1	1	Speaker2.jpg	IN00.jpg	matching	2	2	1	852
6	1	2	Speaker3.jpg	OUT1.jpg	matching	2	2	1	824
6	1	3	Speaker1.jpg	OUT1.jpg	matching	2	2	1	875
6	1	4	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1121
6	1	5	Speaker5.jpg	IN00.jpg	matching	2	2	1	679
6	1	6	Speaker2.jpg	IN00.jpg	matching	2	2	1	666
6	1	7	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	607
6	1	8	Speaker3.jpg	OUT1.jpg	matching	2	2	1	892
6	1	9	Speaker5.jpg	IN00.jpg	matching	2	2	1	574
6	1	10	Speaker5.jpg	IN00.jpg	matching	2	2	1	640
6	1	11	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	848
6	1	12	Speaker2.jpg	IN00.jpg	matching	2	2	1	610
6	1	13	Speaker1.jpg	OUT1.jpg	matching	2	2	1	996
6	1	14	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	828
6	1	15	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	849
6	1	16	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	766
6	1	17	Speaker1.jpg	OUT1.jpg	matching	2	2	1	763
6	1	18	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	676
6	1	19	Speaker3.jpg	OUT1.jpg	matching	2	2	1	797
6	1	20	Speaker2.jpg	IN00.jpg	matching	2	2	1	751
6	1	21	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	639
6	1	22	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	905
6	1	23	Speaker3.jpg	OUT1.jpg	matching	2	2	1	737
6	1	24	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	704
6	1	25	Speaker1.jpg	OUT1.jpg	matching	2	2	1	920
6	1	26	Speaker5.jpg	IN00.jpg	matching	2	2	1	651
6	1	27	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	900
6	1	28	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	744
6	1	29	Speaker2.jpg	IN00.jpg	matching	2	2	1	620
6	1	30	Speaker3.jpg	OUT1.jpg	matching	2	2	1	789
6	1	31	Speaker1.jpg	OUT1.jpg	matching	2	2	1	969
6	1	32	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	581
6	1	33	Speaker5.jpg	IN00.jpg	matching	2	2	1	566
6	1	34	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	704
6	1	35	Speaker1.jpg	OUT1.jpg	matching	2	2	1	700
6	1	36	Speaker3.jpg	OUT1.jpg	matching	2	2	1	790
6	1	37	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	690
6	1	38	Speaker5.jpg	IN00.jpg	matching	2	2	1	768
6	1	39	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1066
6	1	40	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	581
6	1	41	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	887
6	1	42	Speaker1.jpg	OUT1.jpg	matching	2	2	1	859
6	1	43	Speaker2.jpg	OUT1.jpg	mismatching	3	2	0	815
6	1	44	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	765
6	1	45	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	849
6	1	46	Speaker2.jpg	IN00.jpg	matching	2	3	0	725
6	1	47	Speaker2.jpg	IN00.jpg	matching	2	2	1	1146
6	1	48	Speaker5.jpg	IN00.jpg	matching	2	2	1	652
6	1	49	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	640
6	1	50	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	698
6	1	51	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	735
6	1	52	Speaker2.jpg	IN00.jpg	matching	2	2	1	787
6	1	53	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	755
6	1	54	Speaker2.jpg	IN00.jpg	matching	2	2	1	864
6	1	55	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	1008
6	1	56	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	639
6	1	57	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	712
6	1	58	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	605
6	1	59	Speaker3.jpg	OUT1.jpg	matching	2	2	1	840
6	1	60	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	600
6	1	61	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	925
6	1	62	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	654
6	1	63	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	699
6	1	64	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	663
6	1	65	Speaker1.jpg	OUT1.jpg	matching	2	2	1	934
6	1	66	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	656
6	1	67	Speaker3.jpg	OUT1.jpg	matching	2	2	1	869
6	1	68	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	581
6	1	69	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	784
6	1	70	Speaker3.jpg	OUT1.jpg	matching	2	2	1	705
6	1	71	Speaker2.jpg	IN00.jpg	matching	2	2	1	731
6	1	72	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	602
6	1	73	Speaker5.jpg	IN00.jpg	matching	2	2	1	646
6	1	74	Speaker1.jpg	OUT1.jpg	matching	2	3	0	769
6	1	75	Speaker1.jpg	IN00.jpg	mismatching	3	2	0	737
6	1	76	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	693
6	1	77	Speaker5.jpg	IN00.jpg	matching	2	2	1	657
6	1	78	Speaker1.jpg	OUT1.jpg	matching	2	2	1	872
6	1	79	Speaker5.jpg	IN00.jpg	matching	2	2	1	707
6	1	80	Speaker3.jpg	OUT1.jpg	matching	2	2	1	746
6	2	1	Speaker5.jpg	IN00.jpg	matching	2	2	1	847
6	2	2	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	935
6	2	3	Speaker2.jpg	IN00.jpg	matching	2	2	1	741
6	2	4	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	618
6	2	5	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	710
6	2	6	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	793
6	2	7	Speaker3.jpg	OUT1.jpg	matching	2	2	1	775
6	2	8	Speaker3.jpg	OUT1.jpg	matching	2	2	1	628
6	2	9	Speaker3.jpg	OUT1.jpg	matching	2	2	1	591
6	2	10	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	608
6	2	11	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	821
6	2	12	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	702
6	2	13	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	567
6	2	14	Speaker3.jpg	OUT1.jpg	matching	2	2	1	766
6	2	15	Speaker5.jpg	IN00.jpg	matching	2	2	1	583
6	2	16	Speaker2.jpg	IN00.jpg	matching	2	2	1	712
6	2	17	Speaker2.jpg	IN00.jpg	matching	2	2	1	567
6	2	18	Speaker2.jpg	IN00.jpg	matching	2	2	1	644
6	2	19	Speaker5.jpg	IN00.jpg	matching	2	2	1	700
6	2	20	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	597
6	2	21	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	691
6	2	22	Speaker5.jpg	IN00.jpg	matching	2	2	1	584
6	2	23	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	805
6	2	24	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	624
6	2	25	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	617
6	2	26	Speaker2.jpg	IN00.jpg	matching	2	2	1	724
6	2	27	Speaker1.jpg	OUT1.jpg	matching	2	3	0	896
6	2	28	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	660
6	2	29	Speaker5.jpg	IN00.jpg	matching	2	2	1	664
6	2	30	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	641
6	2	31	Speaker1.jpg	OUT1.jpg	matching	2	2	1	823
6	2	32	Speaker2.jpg	IN00.jpg	matching	2	2	1	652
6	2	33	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	621
6	2	34	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	833
6	2	35	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	740
6	2	36	Speaker2.jpg	IN00.jpg	matching	2	2	1	702
6	2	37	Speaker3.jpg	OUT1.jpg	matching	2	2	1	747
6	2	38	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	978
6	2	39	Speaker1.jpg	OUT1.jpg	matching	2	2	1	765
6	2	40	Speaker5.jpg	IN00.jpg	matching	2	2	1	643
6	2	41	Speaker2.jpg	IN00.jpg	matching	2	2	1	622
6	2	42	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	727
6	2	43	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	682
6	2	44	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	578
6	2	45	Speaker3.jpg	OUT1.jpg	matching	2	2	1	884
6	2	46	Speaker3.jpg	OUT1.jpg	matching	2	2	1	666
6	2	47	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	588
6	2	48	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	872
6	2	49	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	910
6	2	50	Speaker5.jpg	IN00.jpg	matching	2	2	1	750
6	2	51	Speaker1.jpg	OUT1.jpg	matching	2	2	1	770
6	2	52	Speaker1.jpg	OUT1.jpg	matching	2	2	1	668
6	2	53	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	629
6	2	54	Speaker5.jpg	IN00.jpg	matching	2	2	1	553
6	2	55	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	934
6	2	56	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	677
6	2	57	Speaker1.jpg	OUT1.jpg	matching	2	2	1	810
6	2	58	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	618
6	2	59	Speaker1.jpg	OUT1.jpg	matching	2	2	1	641
6	2	60	Speaker3.jpg	IN00.jpg	mismatching	3	3	1	562
6	2	61	Speaker5.jpg	IN00.jpg	matching	2	2	1	554
6	2	62	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	837
6	2	63	Speaker2.jpg	IN00.jpg	matching	2	2	1	618
6	2	64	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	739
6	2	65	Speaker1.jpg	OUT1.jpg	matching	2	2	1	663
6	2	66	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	595
6	2	67	Speaker1.jpg	OUT1.jpg	matching	2	2	1	566
6	2	68	Speaker1.jpg	OUT1.jpg	matching	2	2	1	552
6	2	69	Speaker5.jpg	IN00.jpg	matching	2	2	1	582
6	2	70	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	578
6	2	71	Speaker3.jpg	OUT1.jpg	matching	2	2	1	744
6	2	72	Speaker3.jpg	OUT1.jpg	matching	2	2	1	540
6	2	73	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	849
6	2	74	Speaker2.jpg	IN00.jpg	matching	2	2	1	617
6	2	75	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	597
6	2	76	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	575
6	2	77	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	680
6	2	78	Speaker3.jpg	OUT1.jpg	matching	2	2	1	675
6	2	79	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	651
6	2	80	Speaker2.jpg	OUT1.jpg	mismatching	3	3	1	918
