Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
5	1	1	Speaker1.jpg	OUT1.jpg	matching	2	2	1	830
5	1	2	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	917
5	1	3	Speaker1.jpg	OUT1.jpg	matching	2	2	1	782
5	1	4	Speaker3.jpg	IN00.jpg	matching	2	2	1	959
5	1	5	Speaker1.jpg	OUT1.jpg	matching	2	2	1	930
5	1	6	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1115
5	1	7	Speaker3.jpg	IN00.jpg	matching	2	2	1	1476
5	1	8	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	896
5	1	9	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	763
5	1	10	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1478
5	1	11	Speaker3.jpg	IN00.jpg	matching	2	2	1	836
5	1	12	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	857
5	1	13	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1123
5	1	14	Speaker2.jpg	OUT1.jpg	matching	2	2	1	802
5	1	15	Speaker3.jpg	IN00.jpg	matching	2	2	1	854
5	1	16	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	865
5	1	17	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	862
5	1	18	Speaker3.jpg	IN00.jpg	matching	2	2	1	972
5	1	19	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	886
5	1	20	Speaker3.jpg	IN00.jpg	matching	2	2	1	834
5	1	21	Speaker3.jpg	IN00.jpg	matching	2	2	1	647
5	1	22	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	786
5	1	23	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	921
5	1	24	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	811
5	1	25	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	781
5	1	26	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	972
5	1	27	Speaker1.jpg	OUT1.jpg	matching	2	2	1	806
5	1	28	Speaker5.jpg	IN00.jpg	matching	2	2	1	1062
5	1	29	Speaker1.jpg	OUT1.jpg	matching	2	2	1	867
5	1	30	Speaker2.jpg	OUT1.jpg	matching	2	2	1	762
5	1	31	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	965
5	1	32	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	802
5	1	33	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	948
5	1	34	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1009
5	1	35	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	851
5	1	36	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	870
5	1	37	Speaker5.jpg	IN00.jpg	matching	2	2	1	973
5	1	38	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	776
5	1	39	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	764
5	1	40	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	964
5	1	41	Speaker3.jpg	IN00.jpg	matching	2	2	1	886
5	1	42	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	756
5	1	43	Speaker1.jpg	OUT1.jpg	matching	2	2	1	983
5	1	44	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	800
5	1	45	Speaker3.jpg	IN00.jpg	matching	2	2	1	806
5	1	46	Speaker2.jpg	OUT1.jpg	matching	2	3	0	756
5	1	47	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	895
5	1	48	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1042
5	1	49	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	824
5	1	50	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1092
5	1	51	Speaker3.jpg	IN00.jpg	matching	2	2	1	858
5	1	52	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1069
5	1	53	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1029
5	1	54	Speaker1.jpg	OUT1.jpg	matching	2	2	1	829
5	1	55	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	963
5	1	56	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	771
5	1	57	Speaker2.jpg	OUT1.jpg	matching	2	2	1	916
5	1	58	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	836
5	1	59	Speaker5.jpg	IN00.jpg	matching	2	2	1	754
5	1	60	Speaker2.jpg	OUT1.jpg	matching	2	2	1	977
5	1	61	Speaker1.jpg	OUT1.jpg	matching	2	2	1	808
5	1	62	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1056
5	1	63	Speaker2.jpg	OUT1.jpg	matching	2	2	1	839
5	1	64	Speaker1.jpg	OUT1.jpg	matching	2	2	1	763
5	1	65	Speaker5.jpg	IN00.jpg	matching	2	2	1	876
5	1	66	Speaker5.jpg	IN00.jpg	matching	2	2	1	978
5	1	67	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	713
5	1	68	Speaker2.jpg	OUT1.jpg	matching	2	2	1	712
5	1	69	Speaker2.jpg	OUT1.jpg	matching	2	2	1	727
5	1	70	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	900
5	1	71	Speaker5.jpg	IN00.jpg	matching	2	2	1	987
5	1	72	Speaker5.jpg	IN00.jpg	matching	2	2	1	802
5	1	73	Speaker5.jpg	IN00.jpg	matching	2	2	1	541
5	1	74	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	852
5	1	75	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1084
5	1	76	Speaker2.jpg	OUT1.jpg	matching	2	3	0	648
5	1	77	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1063
5	1	78	Speaker5.jpg	IN00.jpg	matching	2	2	1	819
5	1	79	Speaker5.jpg	IN00.jpg	matching	2	2	1	693
5	1	80	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1070
5	2	1	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	983
5	2	2	Speaker2.jpg	OUT1.jpg	matching	2	2	1	830
