Subject	Block	Trial	SpeakerPhoto	Logo	Condition	TargetButton	Button_Response	Accuracy	RTs
44	1	1	Speaker3.jpg	IN00.jpg	matching	2	2	1	1077
44	1	2	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1081
44	1	3	Speaker1.jpg	OUT1.jpg	matching	2	2	1	985
44	1	4	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1054
44	1	5	Speaker3.jpg	IN00.jpg	matching	2	2	1	647
44	1	6	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1054
44	1	7	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1394
44	1	8	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1063
44	1	9	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1168
44	1	10	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1075
44	1	11	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1710
44	1	12	Speaker3.jpg	IN00.jpg	matching	2	2	1	1055
44	1	13	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	921
44	1	14	Speaker5.jpg	IN00.jpg	matching	2	2	1	547
44	1	15	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	979
44	1	16	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	840
44	1	17	Speaker3.jpg	IN00.jpg	matching	2	2	1	928
44	1	18	Speaker5.jpg	IN00.jpg	matching	2	2	1	716
44	1	19	Speaker5.jpg	OUT1.jpg	mismatching	3	2	0	473
44	1	20	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	1045
44	1	21	Speaker5.jpg	IN00.jpg	matching	2	2	1	996
44	1	22	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	893
44	1	23	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	659
44	1	24	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	966
44	1	25	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	579
44	1	26	Speaker1.jpg	OUT1.jpg	matching	2	2	1	638
44	1	27	Speaker1.jpg	IN00.jpg	mismatching	3	2	0	423
44	1	28	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	858
44	1	29	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1024
44	1	30	Speaker2.jpg	OUT1.jpg	matching	2	2	1	971
44	1	31	Speaker2.jpg	OUT1.jpg	matching	2	2	1	631
44	1	32	Speaker2.jpg	OUT1.jpg	matching	2	2	1	639
44	1	33	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	741
44	1	34	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1126
44	1	35	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	659
44	1	36	Speaker2.jpg	OUT1.jpg	matching	2	3	0	717
44	1	37	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	909
44	1	38	Speaker2.jpg	OUT1.jpg	matching	2	2	1	856
44	1	39	Speaker2.jpg	OUT1.jpg	matching	2	2	1	592
44	1	40	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1082
44	1	41	Speaker5.jpg	IN00.jpg	matching	2	2	1	823
44	1	42	Speaker3.jpg	IN00.jpg	matching	2	2	1	730
44	1	43	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1011
44	1	44	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	851
44	1	45	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	794
44	1	46	Speaker1.jpg	OUT1.jpg	matching	2	3	0	741
44	1	47	Speaker5.jpg	IN00.jpg	matching	2	2	1	943
44	1	48	Speaker5.jpg	IN00.jpg	matching	2	2	1	619
44	1	49	Speaker5.jpg	IN00.jpg	matching	2	2	1	668
44	1	50	Speaker2.jpg	OUT1.jpg	matching	2	3	0	619
44	1	51	Speaker3.jpg	IN00.jpg	matching	2	2	1	713
44	1	52	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	542
44	1	53	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1112
44	1	54	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	869
44	1	55	Speaker3.jpg	IN00.jpg	matching	2	2	1	611
44	1	56	Speaker5.jpg	IN00.jpg	matching	2	2	1	840
44	1	57	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1028
44	1	58	Speaker3.jpg	IN00.jpg	matching	2	2	1	711
44	1	59	Speaker5.jpg	IN00.jpg	matching	2	2	1	654
44	1	60	Speaker2.jpg	OUT1.jpg	matching	2	2	1	873
44	1	61	Speaker2.jpg	OUT1.jpg	matching	2	2	1	734
44	1	62	Speaker1.jpg	OUT1.jpg	matching	2	2	1	873
44	1	63	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	775
44	1	64	Speaker1.jpg	IN00.jpg	mismatching	3	2	0	693
44	1	65	Speaker5.jpg	OUT1.jpg	mismatching	3	2	0	578
44	1	66	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	828
44	1	67	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1060
44	1	68	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	939
44	1	69	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	757
44	1	70	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	779
44	1	71	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	729
44	1	72	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	495
44	1	73	Speaker3.jpg	IN00.jpg	matching	2	2	1	702
44	1	74	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	693
44	1	75	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	689
44	1	76	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	713
44	1	77	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1051
44	1	78	Speaker3.jpg	IN00.jpg	matching	2	2	1	648
44	1	79	Speaker5.jpg	IN00.jpg	matching	2	2	1	674
44	1	80	Speaker1.jpg	OUT1.jpg	matching	2	3	0	714
44	2	1	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1420
44	2	2	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1099
44	2	3	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1008
44	2	4	Speaker5.jpg	IN00.jpg	matching	2	2	1	851
44	2	5	Speaker3.jpg	IN00.jpg	matching	2	2	1	676
44	2	6	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	737
44	2	7	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1012
44	2	8	Speaker2.jpg	OUT1.jpg	matching	2	2	1	790
44	2	9	Speaker3.jpg	IN00.jpg	matching	2	2	1	707
44	2	10	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	973
44	2	11	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	1070
44	2	12	Speaker1.jpg	OUT1.jpg	matching	2	2	1	969
44	2	13	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	928
44	2	14	Speaker2.jpg	OUT1.jpg	matching	2	2	1	958
44	2	15	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	797
44	2	16	Speaker2.jpg	OUT1.jpg	matching	2	2	1	747
44	2	17	Speaker3.jpg	OUT1.jpg	mismatching	3	2	0	466
44	2	18	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1013
44	2	19	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	775
44	2	20	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	731
44	2	21	Speaker3.jpg	IN00.jpg	matching	2	3	0	354
44	2	22	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	756
44	2	23	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	930
44	2	24	Speaker5.jpg	IN00.jpg	matching	2	2	1	736
44	2	25	Speaker3.jpg	IN00.jpg	matching	2	2	1	689
44	2	26	Speaker3.jpg	IN00.jpg	matching	2	2	1	412
44	2	27	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	625
44	2	28	Speaker1.jpg	OUT1.jpg	matching	2	3	0	713
44	2	29	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1063
44	2	30	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	837
44	2	31	Speaker3.jpg	IN00.jpg	matching	2	2	1	1047
44	2	32	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	942
44	2	33	Speaker1.jpg	OUT1.jpg	matching	2	2	1	933
44	2	34	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	839
44	2	35	Speaker1.jpg	OUT1.jpg	matching	2	2	1	820
44	2	36	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	742
44	2	37	Speaker5.jpg	IN00.jpg	matching	2	2	1	647
44	2	38	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	752
44	2	39	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	856
44	2	40	Speaker3.jpg	IN00.jpg	matching	2	2	1	695
44	2	41	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	923
44	2	42	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	803
44	2	43	Speaker2.jpg	OUT1.jpg	matching	2	2	1	585
44	2	44	Speaker2.jpg	OUT1.jpg	matching	2	2	1	559
44	2	45	Speaker5.jpg	IN00.jpg	matching	2	2	1	706
44	2	46	Speaker2.jpg	IN00.jpg	mismatching	3	2	0	592
44	2	47	Speaker5.jpg	OUT1.jpg	mismatching	3	2	0	743
44	2	48	Speaker5.jpg	IN00.jpg	matching	2	2	1	611
44	2	49	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1345
44	2	50	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	938
44	2	51	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	945
44	2	52	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	829
44	2	53	Speaker3.jpg	IN00.jpg	matching	2	2	1	595
44	2	54	Speaker5.jpg	IN00.jpg	matching	2	2	1	780
44	2	55	Speaker5.jpg	IN00.jpg	matching	2	2	1	549
44	2	56	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	556
44	2	57	Speaker5.jpg	IN00.jpg	matching	2	2	1	678
44	2	58	Speaker1.jpg	OUT1.jpg	matching	2	2	1	898
44	2	59	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	836
44	2	60	Speaker1.jpg	OUT1.jpg	matching	2	2	1	940
44	2	61	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	1141
44	2	62	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1084
44	2	63	Speaker1.jpg	OUT1.jpg	matching	2	2	1	1301
44	2	64	Speaker3.jpg	IN00.jpg	matching	2	2	1	600
44	2	65	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	815
44	2	66	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1021
44	2	67	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	801
44	2	68	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	945
44	2	69	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1032
44	2	70	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	892
44	2	71	Speaker5.jpg	IN00.jpg	matching	2	2	1	690
44	2	72	Speaker3.jpg	IN00.jpg	matching	2	2	1	1085
44	2	73	Speaker3.jpg	OUT1.jpg	mismatching	3	3	1	536
44	2	74	Speaker2.jpg	OUT1.jpg	matching	2	3	0	1122
44	2	75	Speaker1.jpg	IN00.jpg	mismatching	3	3	1	1227
44	2	76	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	926
44	2	77	Speaker2.jpg	OUT1.jpg	matching	2	2	1	1114
44	2	78	Speaker5.jpg	OUT1.jpg	mismatching	3	3	1	776
44	2	79	Speaker2.jpg	IN00.jpg	mismatching	3	3	1	918
44	2	80	Speaker5.jpg	IN00.jpg	matching	2	2	1	922
